hc1610,热卷10,上期所
hc1611,热卷11,上期所
hc1612,热卷12,上期所
hc1601,热卷01,上期所
pb1602,沪铅02,上期所
pb1603,沪铅03,上期所
pb1604,沪铅04,上期所
pb1605,沪铅05,上期所
pb1606,沪铅06,上期所
pb1607,沪铅07,上期所
pb1608,沪铅08,上期所
pb1609,沪铅09,上期所
pb1610,沪铅10,上期所
pb1611,沪铅11,上期所
pb1612,沪铅12,上期所
pb1601,沪铅01,上期所
rb1602,螺纹02,上期所
rb1603,螺纹03,上期所
rb1604,螺纹04,上期所
rb1605,螺纹05,上期所
rb1606,螺纹06,上期所
rb1607,螺纹07,上期所
rb1608,螺纹08,上期所
rb1609,螺纹09,上期所
rb1610,螺纹10,上期所
rb1611,螺纹11,上期所
rb1612,螺纹12,上期所
rb1601,螺纹01,上期所
ru1603,橡胶03,上期所
ru1604,橡胶04,上期所
ru1605,橡胶05,上期所
ru1606,橡胶06,上期所
ru1607,橡胶07,上期所
ru1608,橡胶08,上期所
ru1609,橡胶09,上期所
ru1610,橡胶10,上期所
ru1611,橡胶11,上期所
ru1612,橡胶12,上期所
ru1601,橡胶01,上期所
wr1602,线材02,上期所
wr1603,线材03,上期所
wr1604,线材04,上期所
wr1605,线材05,上期所
wr1606,线材06,上期所
wr1607,线材07,上期所
wr1608,线材08,上期所
wr1609,线材09,上期所
wr1610,线材10,上期所
wr1611,线材11,上期所
wr1612,线材12,上期所
wr1601,线材01,上期所
zn1602,沪锌02,上期所
zn1603,沪锌03,上期所
zn1604,沪锌04,上期所
zn1605,沪锌05,上期所
zn1606,沪锌06,上期所
zn1607,沪锌07,上期所
zn1608,沪锌08,上期所
zn1609,沪锌09,上期所
zn1610,沪锌10,上期所
zn1611,沪锌11,上期所
zn1612,沪锌12,上期所
zn1601,沪锌01,上期所
a1601,豆一01,大商所
a1603,豆一03,大商所
a1605,豆一05,大商所
a1607,豆一07,大商所
a1609,豆一09,大商所
a1611,豆一11,大商所
i1601,铁矿01,大商所
i1602,铁矿02,大商所
i1603,铁矿03,大商所
i1604,铁矿04,大商所
i1605,铁矿05,大商所
i1606,铁矿06,大商所
i1607,铁矿07,大商所
i1608,铁矿08,大商所
i1609,铁矿09,大商所
i1610,铁矿10,大商所
i1611,铁矿11,大商所
i1612,铁矿12,大商所
j1601,焦炭01,大商所
j1602,焦炭02,大商所
j1603,焦炭03,大商所
j1604,焦炭04,大商所
j1605,焦炭05,大商所
j1606,焦炭06,大商所
j1607,焦炭07,大商所
j1608,焦炭08,大商所
j1609,焦炭09,大商所
j1610,焦炭10,大商所
j1611,焦炭11,大商所
j1612,焦炭12,大商所
jm1601,焦煤01,大商所
jm1602,焦煤02,大商所
jm1603,焦煤03,大商所
jm1604,焦煤04,大商所
jm1605,焦煤05,大商所
jm1606,焦煤06,大商所
jm1607,焦煤07,大商所
jm1608,焦煤08,大商所
jm1609,焦煤09,大商所
jm1610,焦煤10,大商所
jm1611,焦煤11,大商所
jm1612,焦煤12,大商所
OI1601,郑油01,郑商所
OI1603,郑油03,郑商所
OI1605,郑油05,郑商所
OI1607,郑油07,郑商所
OI1609,郑油09,郑商所
OI1611,郑油11,郑商所
TC1601,动力煤01,郑商所
TC1602,动力煤02,郑商所
TC1603,动力煤03,郑商所
TC1604,动力煤04,郑商所
TC1605,动力煤05,郑商所
TC1606,动力煤06,郑商所
TC1607,动力煤07,郑商所
TC1608,动力煤08,郑商所
TC1609,动力煤09,郑商所
TC1610,动力煤10,郑商所
TC1611,动力煤11,郑商所
TC1612,动力煤12,郑商所
